
        Named Entity Recognition task in Dutch.

        Below are 2 examples showing the text of human-geography theses. Each word in the thesis is labeled as a title (Title of the thesis),
        author(Author of the thesis), issued (Time of publication), spatial (The spatial extent, study area or spatial coverage of the entire thesis, given as placenames or place descriptions),
        subject (Concept that is the main subject of the thesis), inGroup (the group of persons studied), or as O (empty label). Non-empty labeled can start with a B- to indicate the beginning of an entity span,
        or as I- to indicate the inside of an entity span. After reading the examples, extratct the tags from the new thesis text, and return it as a JSON, where each key is a label and each value is a list of entities that have that label.
        Do not extract anything that is not in the text.

        Examples:

        Example 1 
26 O
2,4 O
Gehuwd O
/ O
samenwonend O
zonder O
kinderen O
396 O
36,4 O
Gehuwd O
/ O
samenwonend O
met O
kinderen O
383 O
35,2 O
Inwonend O
bij O
ouders O
11 O
1,0 O
Totaal O
• O
1.088 O
100,0 O
Uit O
tabel O
6.10 O
blijkt O
hoeveel O
de O
verschillende O
typen O
huishoudens O
per O
week O
besteden O
aan O
dagelijks O
benodigde O
produkten O
. O

De O
gehuwde O
of O
samenwonende O
medewerkers O
met O
kinderen O
geven O
gemiddeld O
ƒ O
144,81 O
uit O
aan O
deze O
produkten O
. O

De O
gehuwden O
of O
samenwonenden O
zonder O
kinderen O
gemiddeld O
ƒ O
120,32 O
per O
week O
. O

Tabel O
6.10 O
Huishoudenstype O
en O
hun O
bestedingspatroon O
Bestedingen O
Alleenstaand O
78,52 O
Alleenstaand O
met O
kinderen O
126,60 O
Gehuwd O
/ O
samenwonend O
zonder O
kinderen O
Gehuwd O
/ O
samenwonend O
met O
kinderen O
Inwonend O
bij O
ouders O
120,32 O
144,81 O
127,50 O
Gemiddelde O
188,88 O
63 O
Het O
boodschappen O
doen O
In O
de O
vorige O
paragraaf O
is O
gebleken O
dat O
25% O
van O
de O
respondenten O
alleenstaand O
is O
. O

Dit O
betekent O
dat O
zij O
zelf O
hun O
boodschappen O
moeten O
doen O
. O

Ruim O
71% O
van O
de O
respondenten O
is O
gehuwd O
of O
woont O
samen O
. O

Voor O
hen O
is O
het O
niet O
vanzelfsprekend O
dat O
zij O
zelf O
de O
boodschappen O
doen O
. O

Uit O
figuur O
6.1 O
blijkt O
echter O
dat O
67% O
van O
de O
respondenten O
in O
het O
algemeen O
zelf O
de O
benodigde O
boodschappen O
in O
huis O
haalt O
21% O
doet O
zelf O
geen O
boodschappen O
en O
11,5% O
geeft O
aan O
af O
en O
toe O
boodschappen O
te O
doen O
. O

De O
67% O
die O
zelf O
de O
boodschappen O
doet O
, O
is O
een O
groep O
die O
als O
eventuele O
klant O
van O
de O
Uithof-supermarkt O
beschouwd O
kan O
worden O
. O
47 O
Figuur O
6.1 O
Wie O
doet O
de O
boodschappen O
? O

ÊZ3 O
Ja O
EZ O
] O
Nee O
■ O
Af O
en O
toe O
Voor O
49% O
van O
de O
respondenten O
is O
het O
doen O
van O
boodschappen O
, O
op O
de O
dagen O
dat O
ze O
in O
de O
Uithof O
zijn O
, O
een O
probleem O
. O

Voor O
hen O
was O
het O
voor O
de O
inwerkingtreding O
van O
de O
nieuwe O
openingstijden O
moeilijk O
om O
doordeweeks O
nog O
op O
tijd O
boodschappen O
te O
kunnen O
doen O
. O

De O
vraag O
of O
deze O
situatie O
na O
1 O
januari O
1993 O
( O
openstelling O
tot O
18.30 O
uur O
) O
zou O
veranderen O
werd O
door O
34% O
bevestigend O
beant O
- O
woord O
. O

Voor O
31% O
van O
hen O
zal O
het O
doen O
van O
boodschappen O
echter O
een O
probleem O
blijven O
. O

Veertig O
procent O
zegt O
dat O
het O
af O
en O
toe O
nog O
een O
probleem O
zal O
zijn O
. O

In O
totaal O
is O
dus O
voor O
378 O
personen O
boodschappen O
doen O
, O
in O
meer O
of O
mindere O
mate O
, O
een O
probleem O
op O
de O
dagen O
dat O
zij O
in O
de O
Uithof O
verblijven O
( O
34,7% O
van O
de O
totale O
respons O
) O
. O

De O
medewerkers O
die O
hebben O
aangegeven O
voor O
de O
nieuwe O
openingstijden O
problemen O
te O
hebben O
met O
het O
doen O
van O
boodschappen O
, O
doen O
hun O
boodschappen O
meestal O
op O
de O
zaterdag O
en O
/ O
of O
de O
koopavond O
( O
79% O
) O
. O

Ruim O
27% O
van O
hen O
geeft O
aan O
ze O
na O
werktijd O
onderweg O
van O
de O
Uithof O
naar O
de O
woning O
nog O
even O
boodschappen O
doet O
en O
18% O
doet O
ze O
op O
een O
andere O
doordeweekse O
dag O
( O
men O
mocht O
meerdere O
antwoorden O
geven O
) O
. O

De O
hoofdvraag O
blijft O
wat O
deze O
mensen O
nu O
gaan O
besteden O
in O
het O
geval O
er O
een O
supermarkt O
op O
het O
Uithof-terrein O
zal O
komen O
. O

Op O
de O
vraag O
waarin O
men O
kon O
aangeven O
hoe O
vaak O
men O
gebruik O
denkt O
te O
gaan O
maken O
van O
de O
supermarkt O
is O
als O
volgt O
geantwoord O
: O
Tabel O
6.11 O
Verwacht O
gebruik O
van O
de O
supermarkt O
Absoluut O
% O
Nooit O
115 O
10,6 O
Incidenteel O
voor O
een O
vergeten O
boodschap O
147 O
13,6 O
Af O
en O
toe O
als O
dat O
zo O
uitkomt O
546 O
50,5 O
Regelmatig O
182 O
16,8 O
Zo O
vaak O
mogelijk O
57 O
5,2 O
Niet O
van O
toepassing O
35 O
3,2 O
_ O
Totaal O
1.082 O
100,0 O
48 O
De O
respondenten O
die O
vallen O
onder O
' O
niet O
van O
toepassing O
’ O
hebben O
al O
eerder O
aangegeven O
nooit O
in O
de O
Uithof O
te O
komen O
en O
kunnen O
dus O
opgeteld O
worden O
bij O
de O
weiknemers O
die O
geen O
gebruik O
gaan O
maken O
van O
de O
supermarkt O
. O

Het O
percentage O
werknemers O
dat O
dus O
nooit O
van O
de O
supermarkt O
gebruik O
denkt O
te O
maken O
komt O
hiermee O
op O
13,8% O
. O

Iets O
meer O
dan O
de O
helft O
van O
de O
respondenten O
heeft O
aangegeven O
tenminste O
af O
en O
toe O
van O
de O
supermarkt O
gebruik O
te O
gaan O
maken O
. O

De O
produkten O
die O
men O
, O
indien O
gebruik O
gemaakt O
wordt O
van O
de O
Uithof-supermarkt O
, O
zal O
gaan O
kopen O
zijn O
: O
Tabel O
6.12 O
Aankoop O
produkten O
( O
in O
absolute O
aantallen O
) O
Nooit O
Zelden O
Soms O
Vaak O
Altijd O
Brood O
215 O
106 O
685 O
163 O
123 O
Zuivel O
186 O
112 O
665 O
179 O
150 O
Vlees O
453 O
120 O
524 O
103 O
91 O
Groente O
141 O
124 O
703 O
204 O
119 O
Overige O
levensmiddelen O
156 O
143 O
741 O
158 O
94 O
Schoonmaakmiddelen O
752 O
151 O
299 O
45 O
45 O
Ook O
voor O
de O
medewerkers O
geldt O
dat O
men O
niet O
zo O
snel O
schoonmaakmiddelen O
in O
de O
Uithof O
gaat O
kopen O
. O

Vlees O
daarentegen O
blijkt O
bij O
de O
medewerkers O
op O
een O
redelijke O
afzet O
te O
kunnen O
rekenen O
, O
in O
tegenstelling O
tot O
bij O
de O
studenten O
. O
6.6 O
Verwachtte O
bestedingen O
in O
de O
Uithof-supermarkt O
Om O
te O
kunnen O
bepalen O
of O
een O
supermarkt O
in O
de O
Uithof O
haalbaar O
is O
, O
zijn O
de O
gegevens O
uit O
de O
vorige O
paragraaf O
niet O
voldoende O
specifiek O
. O

Dat O
men O
af O
en O
toe O
de O
supermarkt O
zal O
gaan O
bezoeken O
geeft O
nog O
niet O
aan O
hoeveel O
men O
er O
dan O
gaat O
besteden O
. O

Juist O
de O
bestedingen O
zijn O
van O
belang O
om O
te O
kunnen O
inschatten O
of O
een O
supermarkt O
op O
het O
universiteitscomplex O
haalbaar O
is O
. O

In O
deze O
paragraaf O
is O
daarom O
, O
via O
dezelfde O
methode O
als O
in O
hoofdstuk O
vijf O
( O
§ O
5.6 O
) O
, O
getracht O
deze O
bestedingen O
te O
bepalen O
. O

De O
vraag O
hoeveel O
procent O
van O
de O
normale O
bestedingen O
aan O
dagelijks O
benodigde O
produkten O
men O
in O
de O
Uithof-supermarkt O
denkt O
te O
gaan O
besteden O
is O
door O
de O
medewerkers O
van O
het O
AZU O
en O
de O
Univer O
- O
siteit O
als O
volgt O
beantwoord O
( O
zie O
ook O
tabel O
6.13 O
) O
: O
Ruim O
20% O
van O
de O
respondenten O
heeft O
te O
kennen O
gegeven O
niets O
of O
bijna O
niets O
van O
hun O
normale O
uitgaven O
aan O
dagelijks O
benodigde O
produkten O
in O
de O
Uithof O
te O
besteden O
of O
nooit O
gebruik O
te O
zullen O
gaan O
maken O
van O
de O
supermarkt O
( O
de O
‘ O
niet O
van O
toepassingen O
’ O
) O
. O

Van O
de O
respondenten O
heeft O
59% O
aangegeven O
tien O
tot O
vijfentwintig O
procent O
van O
de O
dagelijkse O
produkten O
in O
de O
Uithof-supermarkt O
te O
kopen O
. O

Het O
( O
gewogen O
) O
gemiddelde O
, O
van O
het O
percentage O
dat O
de O
respondenten O
van O
de O
normale O
uitgaven O
aan O
dagelijks O
benodigde O
produkten O
in O
de O
Uithof O
gaat O
besteden O
, O
ligt O
op O
21,3% O
. O
49 O
Tabel O
6.13 O
Toekomstige O
bestedingen O
als O
percentage O
van O
de O
huidige O
bestedingen O
aan O
dagelijks O
benodigde O
produkten O
Absoluut O
% O
0% O
71 O
6,7 O
10% O
412 O
38,6 O
25% O
218 O
20,4 O
50% O
135 O
12,6 O
75% O
71 O
6,6 O
100% O
11 O
1,0 O
Niet O
van O
toepassing O
150 O
14,0 O
Totaal O
1.068 O
100,0 O
Voor O
de O
weekomzet O
per O
persoon O
betekent O
dit O
dat O
na O
vermenigvuldiging O
van O
bovenstaande O
tabel O
met O
de O
huidige O
bestedingen O
aan O
dagelijks O
benodigde O
produkten O
, O
de O
Uithof-supermarkt O
kan O
rekenen O
op O
een O
besteding O
per O
week O
, O
per O
persoon O
van O
ƒ23,72 O
. O
6.7 O
De O
potentiële O
gebruiker O
De O
berekening O
van O
de O
weekbesteding O
in O
de O
vorige O
paragraaf O
is O
zeer O
globaal O
. O

Niet O
alle O
medewerkers O
zullen O
ƒ O
23,75 O
per O
week O
in O
de O
Uithof-supermarkt O
besteden O
. O

Er O
zijn O
enige O
kenmerken O
waarop O
verschillende O
deelpopulaties O
onder O
de O
medewerkers O
te O
onderscheiden O
zijn O
ten O
aanzien O
van O
hun O
bestedingsgedrag O
. O

Voltijd O
of O
deeltijd O
werkzaam O
Er O
is O
gebleken O
dat O
de O
toekomstige O
supermarkt O
bestedingen O
verschillen O
vertonen O
tussen O
medewerkers O
met O
een O
voltijd O
- O
of O
een O
deeltijdbaan O
. O

De O
verschillen O
zijn O
, O
zoals O
blijkt O
uit O
figuur O
6.2 O
, O
echter O
gering O
. O

De O
medewerkers O
met O
een O
voltijdbaan O
zullen O
iets O
vaker O
vijftig O
tot O
vijfenzeventig O
procent O
van O
hun O
dagelijkse O
produkten O
in O
de O
Uithof O
kopen O
. O

Meer O
deeltijders O
daarentegen O
, O
zullen O
tien O
procent O
van O
de O
aankopen O
in O
de O
Uithof-supermarkt O
doen O
. O

Opvallend O
is O
dat O
het O
percentage O
dat O
niets O
zal O
gaan O
besteden O
in O
de O
Uithof O
, O
voor O
de O
voltijders O
hoger O
ligt O
dan O
bij O
de O
deeltijders O
. O
50 O
Figuur O
6.2 O
Bestedingen O
naar O
vol O
- O
of O
deeltijdbaan O
■ O
0% O
E2 O
10% O
CZJ O
25% O
S O
50% O
E3 O
75% O
100% O
Nvt O
Uitgedrukt O
in O
guldens O
betekent O
dit O
dat O
de O
voltijd-medewerkers O
gemiddeld O
genomen O
ƒ O
25,26 O
per O
week O
per O
persoon O
in O
de O
Uithof-supermarkt O
gaan O
besteden O
. O

De O
deeltijders O
zullen O
een O
bedrag O
van O
ƒ O
22,04 O
per O
week O
in O
de O
Uithof O
gaan O
spenderen O
. O

Functie O
De O
functie O
die O
men O
bekleedt O
binnen O
de O
Universiteit O
of O
het O
AZU O
blijkt O
te O
leiden O
tot O
verschillen O
in O
de O
te O
verwachten O
bestedingen O
in O
de O
Uithof-supermarkt O
. O

Tabel O
6.14 O
Bestedingen O
naar O
functie O
1 O
abs O
% O
2 O
3 O
abs O
% O
4 O
abs O
% O
5 O
abs O
% O
6 O
abs O
% O
abs O
% O
0% O
26 O
10,7 O
16 O
8,8 O
4 O
6,3 O
8 O
9,5 O
7 O
5,2 O
10 O
4,0 O
10% O
104 O
42,8 O
106 O
38,7 O
16 O
25,0 O
29 O
34,5 O
49 O
36,3 O
101 O
40,6 O
25% O
40 O
16,5 O
61 O
22,3 O
14 O
21,8 O
14 O
16,7 O
27 O
20,0 O
56 O
22,5 O
50% O
28 O
11,5 O
30 O
10,9 O
16 O
25,0 O
13 O
15,4 O
13 O
9,6 O
31 O
12,5 O
75% O
9 O
3,7 O
23 O
8,4 O
7 O
10,9 O
9 O
10,7 O
8 O
5,9 O
14 O
5,6 O
100% O
5 O
2,1 O
3 O
1,2 O
0 O
0,0 O
0 O
0,0 O
3 O
2,2 O
0 O
0,0 O
Nvt O
31 O
12,8 O
35 O
12,8 O
7 O
10,9 O
11 O
13,1 O
28 O
20,7 O
37 O
14,9 O
Toü O
. O
243 O
100,0 O
274 O
100,0 O
64 O
100,0 O
84 O
100,0 O
135 O
100,0 O
249 O
100,0 O
1 O
= O
UU O
Wetenschappelijk O
/ O
onderwijaend O
personeel O
4 O
= O
AZU O
Kader O
/ O
specialisten O
en O
artsen O
2 O
= O
UU O
Ondersteunend O
personeel O
5 O
= O
AZU O
Ondersteunendpersoneel O
3 O
= O
UU O
AIO O
/ O
OIO O
6 O
= O
AZU O
Verplegend O
/ O
paramedischpersoneel O
Uit O
tabel O
6.14 O
blijkt O
dat O
de O
meeste O
medewerkers O
van O
plan O
zijn O
nul O
tot O
vijfentwintig O
procent O
van O
de O
dagelijks O
benodigde O
produkten O
in O
de O
Uithof O
te O
kopen O
. O

Per O
functie O
is O
dit O
nogal O
verschillend O
. O

Opvallend O
is O
het O
hoge O
percentage O
' O
niet O
van O
toepassing O
’ O
en O
’ O
nul O
procent O
’ O
besteding O
bij O
de O
docenten O
51 O
en O
wetenschappclijkpcrsoneel O
van O
dc O
Universiteit O
, O
het O
AZU O
kader O
, O
de O
artsen O
en O
het O
ondersteu O
- O
nendpersoneel O
van O
het O
AZU O
. O

Hoge O
bestedingen O
zijn O
met O
name O
te O
verwachten O
van O
het O
ondersteunendpersoneel O
van O
de O
Universiteit O
en O
de O
AIO O
’ O
s O
. O

Zij O
zullen O
respectievelijk O
tien O
tot O
vijfentwintig O
procent O
en O
tien O
tot O
vijftig O
procent O
van O
de O
dagelijkse O
boodschappen O
in O
de O
Uithof O
kopen O
. O

De O
medewerkers O
van O
de O
HMN O
zijn O
in O
tabel O
6.13 O
niet O
vermeld O
. O

Deze O
groep O
is O
te O
gering O
van O
om O
vang O
om O
er O
werkelijk O
iets O
over O
te O
kunnen O
zeggen O
. O

Het O
bedrag O
dat O
de O
medewerkers O
per O
week O
in O
de O
supermarkt O
denken O
te O
besteden O
ligt O
voor O
de O
verschillende O
functies O
als O
volgt O
: O
Wetenschappelijk O
/ O
onderwijzend O
personeel O
Universiteit O
Ondersteunend O
personeel O
Universiteit O
AIO O
/ O
OIO O
Universiteit O
Kader O
, O
specialisten O
en O
artsen O
AZU O
Ondersteunendpersoneel O
AZU O
Verzorgend O
- O
en O
paramedischpersoneel O
AZU O
ƒ O
22,42 O
ƒ O
26,96 O
ƒ O
27,50 O
ƒ O
26,57 O
ƒ O
22,24 O
ƒ21,02 O
Gebouwbezoek O
Ook O
het O
gebouw O
waarin O
men O
werkt O
blijkt O
verschillen O
teweeg O
te O
brengen O
in O
het O
superna O
arktgebruik O
. O

Figuur O
63 O
Gebouwbezoek O
en O
bestedingen O
Centrum O
gebied O
Uithof-West O
Uithof-Oost O
■ O
o O
% O
E2lO O
% O
025% O
050% O
075% O
0100% O
0Nvt O
Uit O
figuur O
6.3 O
blijkt O
dat O
, O
de O
medewerkers O
in O
gebouwencluster O
2 O
( O
de O
Westcluster O
) O
het O
minst O
gebruik O
gaan O
maken O
van O
de O
supermarkt O
. O

Ruim O
23% O
geeft O
te O
kennen O
geen O
gebruik O
van O
deze O
voorziening O
te O
zullen O
maken O
. O

Dit O
percentage O
ligt O
voor O
de O
medewerkers O
uit O
cluster O
3 O
( O
Oost O
) O
en O
vooral O
cluster O
1 O
( O
Centrum O
) O
aanzienlijk O
hoger O
. O

Met O
name O
de O
medewerkers O
uit O
het O
Centrumgebied O
geven O
aan O
een O
groot O
deel O
van O
de O
benodigde O
dagelijks O
produkten O
in O
de O
Uithof-supermarkt O
te O
gaan O
kopen O
. O
52 O
Dit O
betekent O
dat O
de O
medewerkers O
uit O
de O
verschillende O
clusters O
gemiddeld O
genomen O
de O
volgende O
bedragen O
in O
de O
Uithof-supermarkt O
zullen O
uitgeven O
: O
cluster O
1 O
( O
Centrum O
) O
ƒ O
29,80 O
cluster O
2 O
( O
West O
) O
ƒ O
21,51 O
cluster O
3 O
( O
Oost O
) O
ƒ O
22,08 O
GESLACHT O
Het O
geslacht O
heeft O
geringe O
invloed O
op O
de O
bestedingen O
van O
de O
medewerkers O
in O
de O
Uithof-supermarkt O
Uit O
figuur O
6.4 O
komt O
naar O
voren O
dat O
de O
mannelijke O
medewerkers O
hoog O
scoren O
op O
de O
’ O
nul O
procent O
’ O
bestedingen O
. O

Bij O
de O
vrouwen O
ligt O
dit O
percentage O
veel O
lager O
. O

Evenveel O
mannen O
als O
vrouwen O
zullen O
tien O
procent O
van O
de O
dagelijkse O
produkten O
in O
de O
Uithpf O
gaan O
kopen O
, O
ruim O
41% O
. O

De O
medewerkers O
die O
vijfentwintig O
en O
vijftig O
procent O
van O
de O
bestedingen O
in O
de O
Uithof O
gaan O
doen O
, O
zijn O
iets O
vaker O
vrouw O
dan O
man O
. O

Figuur O
6.4 O
Bestedingen O
naar O
geslacht O
Bestedingen O
Opgemerkt O
dient O
te O
worden O
dat O
71 O
medewerkers O
eerder O
in O
de O
vragenlijst O
al O
hadden O
aangegeven O
of O
nooit O
in O
de O
Uithof O
te O
komen O
of O
geen O
behoefte O
aan O
een O
supermarkt O
te O
hebben O
. O

De O
vraag O
waarin O
het O
geslacht O
ingevuld O
moest O
worden O
is O
door O
hen O
echter O
met O
beantwoord O
. O

Of O
deze O
personen O
man O
of O
vrouw O
zijn O
is O
dus O
niet O
bekent O
. O

Wel O
is O
gebleken O
dat O
de O
partner O
voor O
bijna O
47% O
van O
hen O
de O
bood O
- O
schappen O
doet O
. O

Het O
gemiddelde O
bedrag O
dat O
de O
medewerkers O
in O
de O
Uithof-supermarkt O
denken O
uit O
te O
gaan O
geven O
ligt O
voor O
de O
mannen O
op O
ƒ O
24,09 O
en O
voor O
de O
vrouwen O
op O
ƒ O
26,36 O
per O
week O
. O

Vervoer O
en O
Reistijd O
Het O
vervoermiddel O
heeft O
geen O
grote O
invloed O
op O
het O
te O
besteden O
bedrag O
van O
de O
verschillende O
werknemers O
. O

Het O
valt O
op O
dat O
het O
percentage O
dat O
men O
denkt O
te O
gaan O
besteden O
in O
de O
Uithof-super O
- O
markt O
, O
voor O
de O
verschillende O
groepen O
dicht O
bij O
elkaar O
ligt O
. O

Bij O
de O
autogebruikers O
ligt O
het O
aantal O
53 O
personen O
dat O
geen O
gebruik O
gaat O
maken O
van O
de O
supermarkt O
of O
daar O
tien O
procent O
van O
de O
totale O
uitgaven O
zal O
besteden O
, O
iets O
hoger O
dan O
bij O
de O
andere O
vervoermiddelen O
. O

Figuur O
65 O
Vervoer O
en O
bestedingen O
■ O
o O
% O
EZ O
] O
10% O
^ O
25% O
ES O
] O
50% O
ER O
] O
75% O
EED O
100% O
DNvt O
Het O
bedrag O
dat O
de O
afzonderlijke O
groepen O
in O
de O
supermarkt O
denken O
te O
gaan O
besteden O
ligt O
als O
volgt O
: O
Fietsers O
ƒ O
23,15 O
Automobilisten O
ƒ O
26,72 O
Bus O
ƒ O
22,79 O
Dat O
nu O
juist O
de O
automobilisten O
het O
hoogste O
bedrag O
in O
de O
Uithof-supermarkt O
gaan O
besteden O
geeft O
aan O
dat O
deze O
groep O
in O
het O
algemeen O
dus O
meer O
uitgeeft O
aan O
dagelijks O
benodigde O
goederen O
dan O
de O
andere O
twee O
groepen O
. O

De O
te O
verwachten O
bestedingen O
in O
combinatie O
met O
de O
reistijd O
levert O
ook O
geen O
uitzonderlijke O
verschillen O
op O
( O
zie O
figuur O
6.6 O
, O
p O
.52 O
) O
. O

De O
medewerkers O
die O
meer O
dan O
25 O
minuten O
moeten O
reizen O
zullen O
in O
iets O
mindere O
mate O
gebruik O
maken O
van O
de O
supermarkt O
. O

De O
verschillen O
in O
de O
bestedingen O
per O
persoon O
per O
week O
zijn O
dan O
ook O
niet O
erg O
afwijkend O
. O

De O
medewerkers O
die O
minder O
dan O
25 O
minuten O
moeten O
reizen O
zullen O
per O
week O
gemiddeld O
ƒ O
24,87 O
in O
de O
Uithof-supermarkt O
uitgeven O
. O

De O
medewerkers O
die O
verder O
moeten O
reizen O
dan O
25 O
minuten O
denken O
hier O
ƒ O
24,56 O
uit O
te O
gaan O
geven O
. O
54 O
Figuur O
6.6 O
Reistijd O
en O
bestedingen O
( O
in O
minuten O
) O
■ O
0% O
tZ210% O
GUI O
25% O
S50% O
EB O
75% O
CD O
100% O
ÜNvt O
Partner O
die O
boodschappen O
doet O
Indien O
de O
respondent O
een O
partner O
heeft O
die O
doorgaans O
de O
boodschappen O
doet O
, O
blijkt O
dat O
hij O
of O
zij O
in O
veel O
mindere O
mate O
gebruik O
gaat O
maken O
van O
de O
Uithof-supermarkt O
( O
zie O
figuur O
6.7 O
) O
. O

Uit O
figuur O
6.7 O
blijkt O
, O
dat O
de O
meerderheid O
van O
de O
respondenten O
met O
een O
partner O
die O
de O
boodschappen O
doet O
, O
tussen O
de O
nul O
en O
de O
tien O
procent O
van O
de O
totale O
uitgaven O
aan O
dagelijkse O
produkten O
in O
deze O
supermarkt O
zal O
besteden O
. O

Dit O
komt O
neer O
op O
af O
en O
toe O
een O
vergeten O
boodschap O
. O

Het O
bedrag O
dat O
de O
afzonderlijke O
groepen O
denken O
te O
gaan O
besteden O
komt O
neer O
op O
het O
volgende O
: O
Indien O
de O
partner O
de O
boodschappen O
doet O
zal O
men O
gemiddeld O
ƒ O
20,78 O
in O
de O
Uithof O
besteden O
. O

Dit O
bedrag O
is O
tegen O
de O
verwachting O
in O
toch O
nog O
vrij O
hoog O
. O

Indien O
men O
voornamelijk O
zelf O
de O
boodschappen O
doet O
denkt O
men O
voor O
een O
bedrag O
van O
ƒ O
26,95 O
in O
de O
Uithof-supermarkt O
te O
gaan O
besteden O
. O
55 O
Figuur O
6.7 O
Wie O
doet O
de O
boodschappen O
versus O
bestedingen O
24% O
Zelf O
Partner O
■ O
o O
% O
El O
10% O
E325% O
£350% O
El O
75% O
IUlOO O
% O
EZlNvt O
6.8 O
Conclusie O
De O
medewerkers O
van O
de O
in O
de O
Uithof O
gevestigde O
instellingen O
blijken O
behoefte O
te O
hebben O
aan O
een O
supermarkt O
op O
het O
complex O
. O

Bijna O
80% O
van O
de O
respondenten O
gaf O
aan O
, O
een O
supermarkt O
op O
prijs O
te O
stellen O
. O

Van O
de O
medewerkers O
had O
bijna O
50% O
, O
vóór O
de O
verruiming O
van O
de O
openingstijden O
per O
1 O
januari O
1993 O
, O
problemen O
bij O
het O
doen O
van O
de O
boodschappen O
op O
de O
dagen O
dat O
men O
in O
de O
Uithof O
aanwezig O
was O
. O

Na O
1 O
januari O
blijft O
het O
voor O
ruim O
34% O
van O
de O
respondenten O
in O
meer O
of O
mindere O
mate O
een O
probleem O
. O

Deze O
groep O
medewerkers O
kan O
dan O
ook O
beschouwd O
worden O
als O
potentiële O
klanten O
voor O
de O
Uithof O
- O
supermarkt O
De O
helft O
van O
de O
respondenten O
zal O
de O
Uithof-supermarkt O
af O
en O
toe O
bezoeken O
. O

Het O
bedrag O
dat O
men O
hier O
per O
persoon O
gemiddeld O
zal O
besteden O
bedraagt O
ƒ O
23,72 O
per O
week O
. O

Dit O
bedrag O
is O
niet O
voor O
iedereen O
gelijk O
. O

Bijna O
20% O
van O
de O
respondenten O
zal O
er O
zelden O
of O
nooit O
iets O
kopen O
. O

Daarnaast O
zijn O
er O
onder O
de O
medewerkers O
verschillende O
deelpopulaties O
te O
onderscheiden O
die O
ieder O
een O
ander O
bedrag O
in O
de O
Uithof-supermarkt O
zullen O
besteden O
. O

De O
belangrijkste O
verschillen O
blijken O
voor O
te O
komen O
tussen O
de O
deelpopulaties O
voltijd O
- O
en O
deeltijdwerkzamen O
, O
de O
functie O
die O
men O
bekleedt O
en O
het O
gebouw O
dat O
men O
doorgaans O
bezoekt O
. O
56 O
7 O
CONCLUSIE O
7.1 O
Omzetberekening O
In O
voorgaande O
hoofdstukken O
is O
voor O
alle O
te O
onderscheiden O
deelpopulaties O
het O
bedrag O
dat O
men O
per O
persoon O
, O
per O
week O
in O
de O
Uithof-supermarkt O
zal O
besteden O
berekend O
. O

Voor O
de O
vertaling O
van O
deze O
bestedingen O
naar O
een O
omzetbedrag O
, O
kunnen O
deze O
bestedings-bedragen O
van O
de O
deelpopulaties O
gebruikt O
worden O
. O

Daar O
de O
omzet O
per O
deelpopulaties O
echter O
niet O
significant O
afwijkt O
van O
het O
gemiddelde O
zal O
, O
voor O
de O
overzichtelijkheid O
, O
in O
de O
nu O
volgende O
omzetberekening O
uitgegaan O
worden O
van O
de O
gemiddelde O
weekbestedingen O
van O
de O
studenten O
en O
de O
medewerkers O
. O

De O
gemiddelde O
weekbesteding O
van O
de O
studenten O
en O
medewerkers O
ligt O
op O
een O
bedrag O
van O
respec O
- O
tievelijk O
ƒ O
13,13 O
en O
ƒ O
23,72 O
per O
persoon O
. O

Om O
tot O
een O
omzetbedrag O
te O
komen O
moeten O
deze O
bedragen O
vermenigvuldigd O
worden O
mét O
de O
totale O
populatie O
. O

Zoals O
uit O
hoofdstuk O
vier O
is O
gebleken O
, O
is O
steekproef O
voldoende O
representatief O
om O
deze O
berekening O
uit O
te O
voeren O
. O

In O
hoofdstuk O
drie O
is O
de O
omvang O
van O
de O
twee O
deelpopulaties O
uiteengezet O
Deze O
cijfers O
zullen O
dan O
ook O
in O
deze O
berekening O
het O
uitgangspunt O
vormen O
. O

De O
weekomzet O
( O
in O
een O
normale O
werkweek O
) O
waarop O
een O
supermarkt O
in O
de O
Uithof O
zou O
kunnen O
rekenen O
is O
als O
volgt O
. O

Voor O
de O
studenten O
kan O
men O
globaal O
rekenen O
op O
een O
weekomzet O
van O
: O
15.126 O
x O
ƒ O
13,13 O
= O
ƒ O
198.604,38 O
. O

Voor O
de O
medewerkers O
geldt O
een O
weekomzet O
van O
: O
9.556 O
x O
ƒ O
23,72 O
= O
ƒ O
226.668,32 O
. O

De O
totale O
weekomzet O
komt O
hiermee O
te O
liggen O
op O
ƒ O
425.272,70 O
Bij O
het O
bereken O
van O
deze O
bovenstaande O
omzetcijfers O
is O
er O
echter O
van O
uitgegaan O
dat O
de O
’ O
non-respons O
’ O
zich O
hetzelfde O
zou O
gedragen O
als O
de O
' O
respons O
’ O
. O

Over O
de O
non-responsgroep O
is O
in O
verband O
met O
de O
privacy O
niets O
bekend O
. O

Als O
de O
’ O
non-respons O
’ O
, O
in O
tegenstelling O
tot O
waarvan O
in O
eerste O
instantie O
is O
uitgegaan O
, O
echter O
niet O
gereageerd O
heeft O
omdat O
men O
niet O
geïnteresseerd O
is O
in O
een O
supermarkt O
, O
zal O
de O
te O
