
        Named Entity Recognition task in Dutch.

        Below are 2 examples showing the text of human-geography theses. Each word in the thesis is labeled as a title (Title of the thesis),
        author(Author of the thesis), issued (Time of publication), spatial (The spatial extent, study area or spatial coverage of the entire thesis, given as placenames or place descriptions),
        subject (Concept that is the main subject of the thesis), inGroup (the group of persons studied), or as O (empty label). Non-empty labeled can start with a B- to indicate the beginning of an entity span,
        or as I- to indicate the inside of an entity span. After reading the examples, extratct the tags from the new thesis text, and return it as a JSON, where each key is a label and each value is a list of entities that have that label.
        Only extract entities that are in the text. Follow the annotation rules.
        
        Annotation rules:
vorming O
van O
agglcmera O
- O
tie-gemeenten O
) O
wenselijk O
( O
0 O
) O
, O
evenals O
initiatief O
van O
de O
hogere O
overheid O
( O
Z O
) O
. O

Uitbreiding O
van O
natuur O
- O
en O
recreatie-areaal O
( O
O O
) O
. O

Alphen O
a O
/ O
d O
Rijn O
Deze O
gemeente O
heeft O
een O
' O
dynamisch-ontspannen O
' O
visie O
. O

Concentratie O
in O
de O
Randstad O
is O
een O
goede O
zaak O
. O

Het O
Groene O
Hart O
is O
zowel O
deel O
van O
een O
stedelijk O
- O
economisch O
( O
D O
/ O
0 O
) O
als O
van O
een O
landelijk O
( O
groen-agrarisch O
) O
systeem O
, O
heeft O
een O
( O
recreatieve O
) O
rol O
in O
het O
wervende O
vestigingsmilieu O
( O
D O
/ O
0 O
) O
en O
de O
samenwerking O
erbinnen O
hoeft O
niet O
vergroot O
/ O
geïntensiveerd O
te O
worden O
( O
D O
) O
. O

De O
landbouw O
sterk O
inkrimpen O
ten O
gunste O
van O
recreatie O
- O
en O
natuur-areaal O
is O
een O
mogelijke O
en O
gewenste O
optie O
( O
D O
/ O
0 O
) O
. O

De O
hogere O
overheid O
stuurt O
en O
financiert O
( O
O O
) O
. O

Woerden O
Woerden O
heeft O
een O
duidelijk O
' O
zorgvuldige O
' O
visie O
. O

Het O
Groene O
Hart O
( O
en O
de O
eigen O
gemeente O
) O
moet O
mee O
kunnen O
profiteren O
van O
groei O
van O
de O
economie O
, O
het O
' O
doet O
niet O
mee O
' O
in O
het O
wervende O
vestigingsmilieu O
, O
initiatief O
door O
de O
hogere O
overheid O
wordt O
positief O
geacht O
, O
evenals O
het O
versterken O
van O
de O
functionele O
samenwerking O
in O
gewestelijk O
verband O
. O

( O
Hierbij O
moet O
vermeld O
worden O
, O
dat O
men O
in O
het O
Utrechtse O
op O
dit O
moment O
minder O
' O
intensief O
' O
samenwerkt O
dan O
in O
het O
Zuidhollandse O
. O
) O

Landbouw O
zoveel O
en O
zo O
goed O
mogelijk O
handhaven O
. O

Waddinxveen O
De O
visie O
van O
Waddinxveen O
is O
' O
zorgvuldig-ontspannen O
' O
te O
noemen O
. O

Spreiding O
van O
stedelijk O
grondgebruik O
zowel O
nationaal O
als O
binnen O
de O
Randstad O
( O
Z O
) O
, O
rekening O
houdend O
met O
de O
afzonderlijke O
schaalniveaus O
. O

Het O
Groene O
Hart O
is O
deel O
van O
een O
stedelijk-economisch O
systeem O
( O
O O
) O
. O
, O
heeft O
een O
eigen O
( O
groene O
) O
rol O
in O
het O
wer O
- O
vende O
vestigingsmilieu O
( O
O O
) O
. O

De O
' O
markt O
' O
speelt O
de O
grootste O
rol O
bij O
de O
finan O
- O
ciering O
van O
de O
uitvoering O
van O
het O
beleid O
( O
D O
) O
. O

Landbouw O
zo O
mogelijk O
handhaven O
( O
Z O
) O
, O
mogelijkheden O
zoeken O
voor O
extensivering O
van O
het O
grondgebruik O
( O
Z O
) O
. O

Usselstein O
De O
Usselsteinse O
visie O
is O
ook O
vooral O
als O
' O
zorgvuldig O
' O
te O
omschrijven O
. O

Redelijk O
geporteerd O
voor O
spreiding O
. O

Geen O
actieve O
rol O
voor O
het O
Groene O
Hart O
in O
het O
wervende O
vestigingsmilieu O
, O
het O
maakt O
deel O
uit O
van O
een O
landelijk O
( O
groen O
- O
agrarisch O
) O
systeem O
, O
sturing O
en O
financiering O
is O
een O
zaak O
van O
de O
hogere O
over O
- O
heid O
. O

Functionele O
samenwerking O
mag O
best O
versterkt O
worden O
( O
zoals O
gezegd O
, O
bevindt O
de O
intergemeentelijke O
samenwerking O
in O
de O
provincie O
Utrecht O
zich O
op O
een O
bescheiden O
niveau O
) O
. O

Enigszins O
in O
tegensteling O
tot O
de O
' O
zorgvuldige O
' O
visie O
is O
de O
kijk O
op O
de O
landbouw O
. O

Deze O
mag O
best O
sterk O
ingekrompen O
worden O
ten O
behoeve O
van O
natuurgebied O
en O
( O
ook O
intensieve O
) O
recreatieve O
doeleinden O
. O

Nieuwerkerk O
a O
/ O
d O
Ussel O
Deze O
gemeente O
heeft O
een O
' O
zorgvuldige O
' O
visie O
op O
de O
toekomst O
van O
het O
Groene O
Hart O
. O

Selectief O
bedrijfsvestiging O
toestaan O
in O
het O
Groene O
Hart O
, O
geen O
( O
actieve O
) O
rol O
in O
het O
wervende O
vestigingsmilieu O
. O

Het O
Groene O
Hart O
is O
deel O
van O
een O
landelijk O
( O
groen-agrarisch O
) O
systeem O
. O

Sturing O
en O
financiering O
door O
de O
hogere O
overheid O
. O

Handhaven O
van O
de O
bestaande O
samenwerking O
. O

Land O
- O
en O
tuinbouw O
zo O
goed O
mogelijk O
pp O
peil O
houden O
, O
nadruk O
op O
extensivering O
van O
het O
grond O
- O
20 O
gebruik O
( O
extensieve O
recreatie O
c.q O
. O
recreatief O
medegebruik O
) O
. O

Bodegraven O
De O
gemeente O
Bodegraven O
heeft O
een O
' O
kritisch-zorgvuldige O
' O
visie O
. O

Het O
Groene O
Hart O
economisch O
niet O
vergeten O
( O
Z O
) O
, O
samenwerking O
' O
markt O
' O
- O
overheid O
ten O
behoeve O
van O
een O
gezond O
landelijk O
systeem O
( O
Z O
/ O
K O
) O
, O
als O
tegenhanger O
voor O
de O
stedelijke O
Randstad O
. O

Intergemeentelijke O
samenwerking O
( O
slechts O
zinvol O
op O
enkele O
terreinen O
) O
handhaven O
op O
het O
huidige O
niveau O
( O
K O
/ O
D O
) O
, O
vorming O
van O
agglomeratie-gemeenten O
in O
de O
stadsgewesten O
noodzaak O
( O
K O
/ O
0 O
) O
. O
landbouw O
verster O
- O
ken O
( O
Z O
) O
, O
geen O
( O
substantiële O
) O
uitbreiding O
van O
natuur O
- O
en O
recreatiegebieden O
. O

De O
Ronde O
Venen O
Deze O
gemeente O
heeft O
een O
overheersend O
' O
zorgvuldige O
’ O
visie O
op O
de O
toekomst O
van O
het O
Groene O
Hart O
. O

Concentratie O
in O
de O
Randstad O
tegengaan O
. O

Het O
Groene O
Hart O
heeft O
geen O
( O
actieve O
) O
rol O
in O
het O
wervende O
vestigingsmilieu O
, O
het O
is O
deel O
van O
een O
landelijk O
( O
groen-agrarisch O
) O
systeem O
, O
waarin O
de O
hogere O
overheid O
stuurt O
en O
financiert O
. O

Bestaande O
samenwerking O
handhaven O
. O
landbouw O
( O
slechte O
gronden O
) O
in O
principe O
beperkt O
inkrirnpen O
ten O
behoeve O
van O
( O
intensieve O
) O
recreatie O
. O

Wel O
uitbreiding O
van O
recreatie O
- O
( O
geconcentreerd O
) O
en O
natuurgebied O
nodig O
. O

Sterkere O
inkrimping O
landbouw O
denkbaar O
( O
O O
) O
. O

Schoonhoven O
Ook O
de O
visie O
van O
de O
gemeente O
Schoonhoven O
past O
binnen O
het O
' O
zorgvuldige O
' O
scenario O
. O

Het O
Groene O
Hart O
economisch O
gezien O
niet O
vergeten O
. O

Het O
Groene O
Hart O
staat O
juist O
als O
deel O
van O
een O
landelijk O
( O
groen-agrarisch O
) O
systeem O
( O
recrea O
- O
tief O
) O
ten O
dienste O
van O
de O
grote O
steden O
. O

De O
hogere O
overheid O
wordt O
geacht O
te O
sturen O
en O
te O
financieren O
. O

Functionele O
samenwerking O
vergroten O
, O
liefst O
met O
kleinere O
gemeenten O
onderling O
. O

Landbouw O
slechts O
beperkt O
inkr O
inpen O
ten O
behoeve O
van O
meer O
extensieve O
recreatie-mogelijkheden O
, O
verweving O
en O
een O
enkel O
natuurgebied O
, O
mogelijk O
in O
een O
park-achtige O
constructie O
. O
3.4.5 O
: O
Enquête-scores O
naar O
qemeentecategorieën O
( O
vier O
uitsplitsingen O
) O
Om O
te O
bezien O
in O
hoeverre O
de O
kenmerken O
gemeentegrootte O
( O
naar O
inwonertal O
) O
en O
geografische O
ligging O
van O
invloed O
zijn O
op O
de O
visie O
van O
de O
gemeente O
, O
in O
rela O
- O
tie O
tot O
de O
vier O
toekomstscenario's O
, O
zijn O
vier O
uitsplitsingen O
gevormd O
( O
zie O
par O
. O
3.4.1 O
) O
. O

De O
tabellen O
met O
de O
scores O
op O
de O
scenario's O
zijn O
te O
vinden O
in O
het O
scriptie-verslag O
. O

Aan O
elke O
uitsplitsing O
ligt O
een O
veronderstelling O
/ O
hypothese O
ten O
grondslag O
: O
Hypothese O
1 O
De O
twee O
grootste O
gemeenten O
zijn O
meer O
stedelijk-economisch O
georiënteerd O
, O
wensen O
meer O
markt O
en O
wat O
minder O
overheidsbemoeienis O
, O
hechten O
minder O
waarde O
aan O
de O
landbouw O
, O
wensen O
vaker O
handhaving O
van O
de O
intensiteit O
en O
geografische O
schaal O
van O
intergemeentelijke O
samenwerking O
, O
en O
grotere O
uitbreiding O
van O
de O
arealen O
recreatie O
- O
en O
natuurgebied O
dan O
de O
minder O
grote O
gemeenten O
. O

Hypothese O
2 O
De O
gemeenten O
gelegen O
in O
of O
aan O
de O
rand O
van O
een O
agglomeratie O
hebben O
, O
verge O
- O
lijkbaar O
met O
de O
twee O
grootste O
gemeenten O
, O
een O
meer O
stedelijke O
oriëntatie O
dan O
de O
meer O
landelijk O
gelegen O
gemeenten O
. O

Daarbij O
is O
er O
een O
duidelijke O
reserve O
ten O
opzichte O
van O
de O
vorming O
van O
agglomeratie-gemeenten O
bij O
de O
eerste O
categorie O
. O

Hypothese O
3 O
Van O
gemeenten O
gelegen O
aan O
/ O
langs O
autosnelwegen O
is O
ook O
een O
meer O
stedelijk O
- O
economische O
visie O
te O
verwachten O
dan O
vanuit O
economisch O
oogpunt O
bezien O
minder O
goed O
bereikbare O
gemeenten O
. O

Dit O
, O
onder O
invloed O
van O
de O
aantrekkingskracht O
van O
een O
goede O
bereikbaarheid O
, O
welke O
tegemoet O
komt O
aan O
de O
vraag O
die O
besloten O
ligt O
in O
de O
druk O
van O
de O
buitenwacht O
( O
stedelijke O
ring O
, O
overige O
landsdelen O
, O
buiten O
- O
land O
) O
op O
de O
centraal O
gelegen O
Groene O
Hart-gemeenten O
. O
21 O
De O
Zuidhollandse O
gemeenten O
ondervinden O
dmk O
van O
met O
name O
de O
stadsgewesten O
Dordrecht O
, O
Rotterdam O
, O
Den O
Haag O
en O
Leiden O
; O
de O
Utrechtse O
gemeenten O
met O
name O
van O
de O
stadsgewesten O
Amsterdam O
en O
Utrecht O
. O

De O
verwachting O
is O
, O
dat O
deze O
uit O
- O
splitsing O
derhalve O
geen O
significante O
verschillen O
laat O
zien O
, O
mede O
ook O
in O
de O
wetenschap O
, O
dat O
zcwel O
de O
Zuidhollandse O
als O
de O
Utrechtse O
gemeenten O
een O
door O
- O
snede O
zijn O
van O
de O
onderscheiden O
categorieën O
in O
bovengenoemde O
uitsplitsingen O
, O
met O
uitzondering O
van O
de O
eerste O
. O
3.4.6 O
: O
Confrontatie O
Confrontatie O
van O
de O
uitsplitsingen O
met O
de O
hypotheses O
levert O
het O
volgende O
op O
. O

Uitsplitsing O
1 O
Het O
onderscheid O
tussen O
de O
twee O
grootste O
en O
de O
minder O
grote O
gemeenten O
blijkt O
van O
de O
vier O
uitsplitsingen O
het O
meest O
veelzeggend O
ofwel O
significant O
te O
zijn O
. O

De O
twee O
grootste O
gemeenten O
( O
Gouda O
en O
Alphen O
a O
/ O
d O
Rijn O
) O
hebben O
toch O
een O
enigs O
- O
zins O
afwijkende O
visie O
in O
relatie O
tot O
de O
minder O
grote O
gemeenten O
. O

Wat O
de O
scenario's O
betreft O
, O
past O
hun O
visie O
binnen O
de O
' O
dynamische O
' O
en O
' O
ontspannen O
' O
scenario's O
. O

De O
visie O
van O
de O
minder O
grote O
gemeenten O
correleert O
sterk O
met O
het O
' O
zorgvuldige O
' O
scenario O
. O

De O
gedane O
veronderstelling O
klopt O
inhoudelijk O
gezien O
echter O
niet O
geheel O
. O

De O
twee O
grootste O
gemeenten O
hechten O
in O
het O
algemeen O
meer O
aan O
een O
initiatiefrijke O
hogere O
overheid O
en O
meer O
aan O
instandhouding O
van O
de O
landbouw O
dan O
vooraf O
verondersteld O
werd O
. O

Wel O
zijn O
de O
twee O
grootste O
gemeenten O
meer O
stedelijk-economisch O
georiënteerd O
. O

Beide O
zien O
zich O
overigens O
gepositioneerd O
aan O
de O
rand O
van O
het O
Groene O
Hart O
, O
hetgeen O
hun O
visie O
op O
dit O
punt O
kleurt O
. O

Uitsplitsing O
2 O
Naar O
aanleiding O
van O
de O
tweede O
uitsplitsing O
kunnen O
mede O
door O
de O
kleine O
abso O
- O
lute O
aantallen O
geen O
' O
harde O
' O
uitspraken O
worden O
gedaan O
. O

Het O
onderscheid O
levert O
weinig O
significante O
verschillen O
op O
. O

De O
gedane O
veronderstelling O
wordt O
slechts O
voor O
een O
deel O
door O
de O
werkelijkheid O
bevestigd O
. O

Uitgezonderd O
het O
eerste O
thema O
scoren O
de O
gemeenten O
in O
of O
nabij O
een O
agglomeratie O
meer O
in O
het O
stramien O
van O
de O
minder O
grote O
gemeenten O
dan O
van O
de O
twee O
grootste O
. O

Zij O
zijn O
bepaald O
niet O
zo O
stedelijk-economisch O
georiënteerd O
als O
zou O
mogen O
worden O
aangenomen O
. O

Uitsplitsing O
3 O
De O
derde O
uitsplitsing O
levert O
geen O
eenduidig O
beeld O
op O
, O
waardoor O
de O
veronder O
- O
stelling O
slechts O
gedeeltelijk O
juist O
blijkt O
. O

De O
aan O
een O
autosnelweg O
gelegen O
gemeenten O
zijn O
zeker O
meer O
geprononceerd O
stedelijk O
georiënteerd O
dan O
de O
overi O
- O
ge O
. O

In O
het O
landelijk O
gebied O
kiest O
men O
voor O
de O
landbouw O
als O
drager O
en O
niet O
voor O
veel O
extra O
recreatie O
- O
en O
natuurgebieden O
. O

Dit O
in O
tegenstelling O
tot O
de O
overige O
, O
die O
de O
landbouw O
best O
( O
substantieel O
) O
zouden O
willen O
' O
ontvormen O
' O
tot O
vooral O
extensief O
te O
gebruiken O
recreatie O
- O
en O
natuurgebieden O
. O

Uitsplitsing O
4 O
Deze O
uitsplitsing O
levert O
nog O
minder O
significante O
verschillen O
op O
. O

De O
veron O
- O
derstelling O
hieraan O
gekoppeld O
, O
wordt O
derhalve O
redelijk O
bewaarheid O
. O

De O
visies O
van O
enerzijds O
de O
Zuidhollandse O
gemeenten O
en O
anderzijds O
de O
Utrechtse O
kennen O
geen O
duidelijke O
uit O
dit O
onderscheid O
voortkomende O
verschillen O
. O
3.5 O
: O
Thema O
6 O
: O
Toekomstverkenning O
door O
de O
gemeenten O
( O
' O
epen O
' O
vragen O
4.1 O
- O
4.7 O
) O
In O
Gouda O
is O
ruimte-nood O
het O
centrale O
thema O
de O
kamende O
jaren O
. O

De O
nieuwste O
uitbreiding O
, O
Goverwelle O
( O
Gouda-oost O
) O
zal O
rond O
1994 O
vol O
zijn O
en O
daarmee O
zijn O
de O
grenzen O
van O
de O
mogelijkheden O
en O
ook O
de O
gemeentegrenzen O
bereikt O
. O

In O
Gouda O
gaan O
gedachten O
uit O
naar O
een O
grenswijziging O
met O
de O
gemeente O
Moordrecht O
om O
Gouda-west O
( O
ca O
. O
5.000 O
woningen O
) O
te O
kunnen O
ontwikkelen O
. O

De O
A-kem-status O
acht O
men O
hierbij O
in O
het O
geding O
. O

Nieuw O
bedrijventerrein O
en O
stimulering O
van O
toerisme O
en O
recreatie O
zijn O
ook O
twee O
belangrijke O
onderwerpen O
. O

Een O
tweede O
heet O
hangijzer O
is O
de O
gebrekkige O
infrastructurele O
situatie O
. O

Aan O
alle O
kanten O
is O
en O
22 O
wordt O
gewerkt O
aan O
oplossingen O
. O

Voornaamste O
knelpunt O
blijft O
de O
westelijke O
toegang O
tot O
de O
stad O
. O

Op O
nationaal O
niveau O
wenst O
men O
een O
rijksbeleid O
, O
dat O
een O
zeker O
tegenwicht O
biedt O
tegen O
een O
al O
te O
eenzijdige O
Randstad-benadrukking O
, O
meer O
nuancering O
in O
het O
Groene O
Hart O
, O
onder O
andere O
gezien O
de O
samenhang O
met O
de O
stedelijke O
Randstad O
, O
erkenning O
van O
de O
huidige O
economische O
ontwikkeling O
, O
en O
( O
wederom O
) O
snellere O
structurering O
( O
dus O
meer O
geld O
) O
door O
betere O
instrumenten O
dan O
die O
nu O
( O
landinrichting O
) O
gehanteerd O
worden O
. O

' O
Ontspannen-zorgvuldig O
' O
is O
de O
omschrijving O
van O
deze O
visie O
. O

Alphen O
a O
/ O
d O
Rijn O
slaat O
de O
weg O
in O
naar O
een O
recreatieve O
( O
hoogwaardige O
) O
dien O
- O
stenstad O
. O

Ten O
aanzien O
van O
de O
recreatie O
denkt O
men O
aan O
zowel O
dag O
- O
als O
ver O
- O
blijf O
srecreatie O
en O
met O
name O
aan O
de O
waterrecreatie O
. O

Wat O
de O
recreatieve O
plan O
- O
nen O
betreft O
, O
wil O
men O
het O
streekplan O
' O
voorbij O
' O
. O

Serieuze O
knelpunten O
met O
het O
beleid O
van O
de O
hogere O
overheden O
verwacht O
men O
niet O
, O
mits O
de O
rijksoverheid O
zich O
meer O
bedient O
van O
uitvoeringsplanologie O
, O
van O
zoneren O
en O
van O
investeren O
. O

Een O
knelpunt O
, O
dat O
al O
jaren O
zorgen O
baart O
, O
is O
de O
slechte O
ontsluitingssituatie O
ten O
opzichte O
van O
de O
rest O
van O
de O
Randstad O
. O

Met O
de O
uitbreidingslocatie O
' O
Kerk O
en O
Zanen O
' O
kan O
men O
voorlopig O
vooruit O
en O
optimaliseert O
men O
de O
stadsstructuur O
. O

Na O
2000 O
voorziet O
men O
een O
verdere O
bandontwikkeling O
, O
bij O
voorkeur O
eerst O
rich O
- O
ting O
Leiden O
. O

Ten O
opzichte O
van O
de O
andere O
gemeenten O
, O
zit O
Alphen O
a O
/ O
d O
Rijn O
aan O
de O
meest O
ambitieuze O
zijde O
, O
hetgeen O
ook O
blijkt O
uit O
de O
voorkeur O
voor O
c.q O
. O
het O
passen O
van O
de O
visie O
binnen O
een O
' O
dynamisch-ontspannen O
' O
scenario O
. O

Ook O
voor O
Woerden O
is O
werken O
aan O
de O
toekomst O
, O
werken O
aan O
optimalisatie O
van O
de O
ruimtelijke O
structuur O
. O

' O
Snel O
en O
Polanen O
' O
in O
het O
zuidoosten O
is O
de O
volgende O
logische O
stap O
. O

Geen O
grote O
sprong O
in O
vergelijking O
met O
de O
afgelopen O
jaren O
. O

Groei O
primair O
voor O
eigen O
bevolking O
. O

Behoud O
van O
wat O
er O
is O
in O
het O
Groene O
Hart O
met O
prioriteit O
voor O
de O
landbouw O
is O
één O
van O
de O
kenmerken O
van O
een O
' O
zorgvuldi O
- O
ge O
' O
visie O
. O

De O
Vierde O
nota O
bevat O
in O
deze O
teveel O
losse O
einden O
; O
wat O
wil O
het O
rijk O
nu O
precies O
, O
hoe O
wil O
ze O
dat O
bereiken O
en O
wie O
betaalt O
de O
kosten O
? O

De O
nota O
trekt O
een O
te O
scherpe O
scheiding O
tussen O
de O
stedelijke O
Randstad O
en O
het O
Groene O
Hart O
. O

In O
de O
behoefte O
aan O
industriegrond O
wordt O
binnenkort O
voorzien O
. O

Het O
eerstvolgende O
te O
voorziene O
grote O
ruimtelijke O
probleem O
betreft O
een O
nieuwe O
( O
woning O
) O
bouwlocatie O
rond O
2005 O
, O
na O
de O
bouw O
van O
' O
Snel O
en O
Polanen O
' O
. O

De O
toekomstplannen O
van O
de O
gemeente O
Waddinxveen O
staan O
in O
het O
teken O
van O
het O
optimaliseren O
van O
de O
ruimtelijke O
structuur O
. O

Via O
geleidelijke O
groei O
wil O
men O
in O
het O
zuiden O
de O
nieuwe O
woon O
- O
en O
werkgebieden O
optimaal O
op O
elkaar O
en O
de O
( O
aan O
- O
wezige O
) O
infrastructuur O
laten O
aansluiten O
. O

Waddinxveen O
zit O
op O
een O
' O
zorgvuldig O
- O
ontspannen O
' O
spoor O
. O

Geen O
magie O
of O
dogma's O
rond O
stedelijke O
Randstad O
en O
Groene O
Hart O
. O

De O
scheiding O
ertussen O
is O
reeds O
te O
dik O
aangezet O
. O

Het O
primaat O
van O
de O
Randstad O
in O
het O
ruimtelijk O
beleid O
is O
in O
nationaal O
en O
internationaal O
perspec O
- O
tief O
bezien O
te O
kleinschalig O
gedacht O
. O

Het O
rijk O
moet O
lijnen O
uitzetten O
in O
het O
Groene O
Hart O
eventueel O
in O
de O
vorm O
van O
taakstellende O
opdrachten O
, O
zeker O
niet O
te O
veel O
willen O
regelen O
, O
maar O
wel O
beschermen O
wat O
waardevol O
is O
. O

Het O
rijk O
zal O
zich O
tenminste O
uit O
moeten O
spreken O
over O
wat O
wel O
en O
niet O
gewenst O
is O
. O

Usselstein O
voert O
al O
jaren O
strijd O
met O
het O
begrip O
' O
centrale O
open O
ruimte O
' O
. O

Uitbreiding O
wordt O
telkens O
weer O
' O
bevochten O
' O
op O
met O
name O
het O
rijk O
. O

Behorend O
tot O
de O
Utrechtse O
agglomeratie O
, O
ligt O
men O
aan O
de O
rand O
van O
het O
Groene O
Hart O
. O

Nieuwste O
confrontatie O
is O
de O
locatie O
' O
Zenderpark O
' O
in O
het O
zuiden O
( O
3.500 O
woningen O
) O
. O

Mocht O
hier O
gebouwd O
gaan O
worden O
, O
dan O
zal O
zich O
rond O
2005 O
wellicht O
( O
pas O
) O
weer O
een O
volgende O
confrontatie O
voordoen O
. O

Usselstein O
is O
één O
van O
de O
gemeenten O
met O
het O
standpunt O
, O
dat O
het O
Groene O
Hart O
niet O
overal O
even O
waardevol O
is O
, O
en O
, O
dat O
overheden O
juist O
waar O
dit O
wel O
het O
geval O
is O
, O
meer O
moeten O
sturen O
en O
financieren O
cm O
die O
delen O
niet O
ten O
prooi O
te O
laten O
vallen O
aan O
niet O
gewenste O
functies O
: O
de O
basis O
van O
de O
' O
zorgvuldige O
' O
visie O
. O

Ook O
Usselstein O
kiest O
voor O
geleidelijkheid O
, O
met O
wat O
meer O
nadruk O
op O
groei O
van O
bedrijfsterrein-areaal O
( O
richting O
A2 O
) O
en O
natuur O
en O
recreatie O
( O
bossen O
, O
plas O
, O
verblijfsrecreatie O
aan O
de O
Lek O
) O
. O

Vrijkomende O
landbouwgronden O
en O
de O
gebrekkige O
infrastructurele O
situatie O
zijn O
daarbij O
de O
huidige O
en O
toekomstige O
aandachtspunten O
. O
23 O
Het O
spanningsveld O
voor O
Nieuwerkerk O
a O
/ O
d O
Ussel O
in O
de O
kanende O
jaren O
betreft O
de O
zelfstandigheid O
van O
de O
gemeente O
ten O
opzichte O
van O
de O
Rotterdamse O
agglomera O
- O
tie O
. O

De O
groei O
zit O
wat O
betreft O
Nieuwerkerk O
a O
/ O
d O
Ussel O
in O
de O
functies O
natuur O
en O
extensieve O
recreatie O
c.q O
. O
recreatief O
medegebruik O
( O
t.b.v O
. O

Rijnmond O
en O
Capelle O
a O
/ O
d O
Ussel O
) O
en O
de O
glastuinbouw O
( O
richting O
Zevenhuizen O
) O
. O

Wat O
woning O
- O
bouw O
en O
bedrijvigheid O
betreft O
, O
is O
men O
reeds O
begonnen O
met O
de O
afbouw O
van O
de O
groei O
. O

Wanneer O
de O
gemeente O
toch O
een O
( O
grotere O
) O
rol O
moet O
gaan O
spelen O
in O
de O
stadsgewestelijke O
ontwikkeling O
, O
dan O
verkiest O
men O
het O
voorzien O
in O
' O
licht O
en O
luchtig O
' O
wonen O
in O
het O
groen O
in O
hele O
lage O
dichtheden O
verre O
boven O
meer O
bedrijvigheid O
of O
meer O
wonen O
. O

Of O
de O
verleiding O
dan O
kan O
worden O
weerstaan O
, O
is O
wel O
de O
vraag O
. O

Aanleg O
van O
de O
A24 O
, O
ten O
noorden O
van O
de O
gemeente O
, O
zou O
dit O
' O
zorgvuldige O
' O
wensbeeld O
ruw O
verstoren O
. O

Nieuwerkerk O
a O
/ O
d O
Ussel O
, O
geconfron O
- O
teerd O
met O
de O
stadsrandprobleiratiek O
, O
wenst O
, O
dat O
de O
hogere O
overheden O
de O
voortschrijdende O
' O
verrommeling O
' O
( O
her O
en O
der O
) O
bestrijden O
met O
krachtiger O
instrumenten O
, O
meer O
geld O
en O
het O
bieden O
van O
reële O
kansen O
aan O
de O
functies O
waar O
men O
voor O
kiest O
, O
met O
name O
ook O
de O
land O
- O
en O
tuinbouw O
. O

Bodegraven O
gaat O
de O
toekomst O
tegemoet O
met O
een O
' O
kritisch-zorgvuldige O
' O
2% O
groei-ontwikkelingsvisie O
. O

Men O
wil O
de O
B-kem-status O
inhoud O
kunnen O
blijven O
geven O
. O

Ook O
Bodegraven O
zit O
( O
daarmee O
) O
aan O
de O
meer O
ambitieuze O
zijde O
. O

Van O
de O
hogere O
overheid O
verwacht O
men O
meer O
erkenning O
van O
de O
druk O
tot O
vestiging O
in O
het O
gebied O
en O
het O
toelaten O
ervan O
op O
goed O
ontsloten O
plaatsen O
. O

Daarbuiten O
moet O
de O
agrarische O
plattelandscultuur O
gewaarborgd O
worden O
door O
te O
( O
blijven O
) O
investe O
- O
ren O
in O
leefbaarheid O
( O
o.a O
. O
door O
het O
mogelijk O
houden O
van O
de O
' O
gewone O
' O
suburba O
- O
nisatie O
) O
, O
waardoor O
het O
Groene O
Hart O
zich O
los O
van O
de O
stedelijke O
Randstad O
sterk O
kan O
maken O
. O

Vooral O
met O
betrekking O
tot O
de O
bedrijfsterreinvoorziening O
wil O
men O
wel O
meer O
profiteren O
van O
de O
gunstige O
ligging O
, O
ofwel O
meer O
groeien O
. O

De O
uitbrei O
- O
dingsmogelijkheden O
voor O
wonen O
en O
werken O
zijn O
her O
en O
der O
verspreid O
. O

De O
nieuwe O
woonlocaties O
zullen O
worden O
afgerond O
door O
landschapsparken O
. O

Daarbuiten O
heeft O
de O
landbouw O
de O
hoogste O
prioriteit O
. O

Rond O
2005 O
zal O
weer O
nieuw O
( O
nog O
niet O
voor O
- O
zien O
) O
bouwterrein O
nodig O
zijn O
. O

Het O
grootste O
spanningsveld O
in O
de O
toekomst O
acht O
men O
de O
grondverwerving O
. O

De O
Ronde O
Venen O
( O
Mijdrecht O
, O
Vinkeveen O
en O
Waverveen O
en O
Wilnis O
) O
wordt O
groter O
tegen O
wil O
en O
dank O
. O

De O
( O
eigen O
) O
behoefte O
aan O
woningen O
en O
bedrijfsterrein O
is O
nog O
behoorlijk O
( O
ca O
. O
250 O
woningen O
en O
2 O
^ O
a O
3 O
ha O
. O
bedrijfsterrein O
per O
jaar O
) O
. O

Mede O
omdat O
Mijdrecht O
in O
het O
streekplan O
Utrecht O
is O
aangewezen O
als O
provincia O
- O
le O
kern O
voor O
bedrijfsvestiging O
. O

De O
landschappelijke O
inpassing O
van O
woningen O
en O
bedrijven O
en O
van O
noodzakelijk O
geachte O
nieuwe O
of O
uit O
te O
breiden O
recrea O
- O
tievoorzieningen O
zal O
veel O
aandacht O
vergen O
. O

De O
druk O
van O
buiten O
( O
de O
Randstad O
) O
zal O
zoveel O
mogelijk O
geweerd O
moeten O
worden O
, O
wil O
De O
Ronde O
Venen O
niet O
' O
vollo O
- O
pen O
' O
. O

